Time End;Sexo;País;En caso de ser Español, ¿cuál  es su provincia de procedencia?;Con quién viaja (sólo una opción);Duración de la estancia en Madrid;Con quién viaja (sólo una opción) - Observaciones;Número de informadores turísticos que están atendiendo;¿Ha buscado información sobre la ciudad de Madrid antes de venir? ¿A través de qué medio? - Observaciones;Oferta de idiomas;Satisfacción con la infromación facilitada sobre Visitas Guiadas;Observaciones;¿Cómo ha localizado los SAIT?;¿Cuál es el motivo de su visita a la Ciudad de Madrid? - Observaciones;Trato y amabilidad;Conocimiento del idioma utilizado por parte del personal;Satisfacción con la información facilitada;Utilidad de la información facilitada;Tiempo de espera para ser atendido;Orden y limpieza;Localización de las instalaciones;¿Cuál es su nivel global de satisfacción con el Servicio de Atención e Información Turística?;Horario de atención al público;¿Volvería a utilizar este servicio?;Mobiliario (sólo Centros de Turismo);Iluminación (sólo Centros de Turismo);Contenido de los folletos;¿ En qué medio de transporte ha llegado a Madrid? - Observaciones;Plano de la ciudad;¿Ha buscado información sobre la ciudad de Madrid antes de venir? ¿A través de qué medio?;Ruido ambiental;Disponibilidad de folletos en el idioma del usuario;Edad;¿Cómo ha localizado los SAIT? - Observaciones;¿Cuál es el motivo de su visita a la Ciudad de Madrid?;Claridad del lenguaje utilizado;Adecuación de los folletos a la información solicitada;Distribución del espacio (sólo Centros de Turismo;Satisfacción con el Horario de atención al público;¿Qué instalaciones del Servicio de Atención e Información Turística ha visitado? (Seleccione todas las opciones que correspondan);¿ En qué medio de transporte ha llegado a Madrid?;Aspecto del personal de atención (vestimenta, aseo, identificación);Señalización informativa
21/03/2024;Mujer;Argentina;;Sólo;2 noches;;9;esmadrid, blogs;10;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;10;10;10;10;10;10;Sí;10;10;10;;10;Internet/web (Indicar páginas);10;10;25-44;;Ocio, recreo y vacaciones;10;10;10;10;PIT Palacio Real;Avión;NS/NC;10
21/03/2024;Hombre;España;Madrid;Residente;Residente;;1;;8;NS/NC;;Los había visto anteriormente;;8;8;8;8;9;8;7;9;8;Sí;NS/NC;NS/NC;8;;8;No ha buscado información;8;8;45-64;;Residente;8;8;NS/NC;8;PIT del Aeropuerto T-4;Residente;8;8
21/03/2024;Mujer;España;Madrid;Residente;Residente;;1;;8;NS/NC;;Los había visto anteriormente;;8;8;8;9;8;8;8;8;7;Sí;NS/NC;NS/NC;8;;8;No ha buscado información;8;9;25-44;;Residente;8;8;NS/NC;8;PIT del Aeropuerto T-4;Residente;8;9
21/03/2024;Hombre;Francia;;Grupo Organizado;De 1 a 3 meses;;10;;10;10;;Los había visto anteriormente;;10;10;10;10;10;10;10;10;10;Sí;10;10;10;;10;No ha buscado información;10;10;45-64;;Negocios;10;10;10;10;Centro de Turismo de la Plaza Mayor;Avión;10;10
21/03/2024;Mujer;España;Madrid;Residente;Residente;;10;;10;NS/NC;;Los había visto anteriormente;;10;10;10;10;10;10;10;10;10;Sí;NS/NC;NS/NC;10;;10;No ha buscado información;10;10;+65;;Ocio, recreo y vacaciones;10;10;NS/NC;10;PIT Palacio Real;Residente;10;10
21/03/2024;Mujer;España;Madrid;Residente;Residente;;5;;NS/NC;NS/NC;;Tenía información previa de su ubicación;;10;10;10;10;8;10;10;9;10;Sí;10;10;6;;NS/NC;No ha buscado información;8;NS/NC;+65;Viene asiduamente;Residente;10;6;10;10;Centro de Turismo de la Plaza Mayor;Residente;10;10
21/03/2024;Mujer;Estados Unidos;;En familia;De 4 a 7 noches;;10;;10;10;;Los ha encontrado en su recorrido;;10;10;10;10;10;10;10;10;10;Sí;10;10;10;;10;No ha buscado información;10;10;25-44;;Ocio, recreo y vacaciones;10;10;10;10;PIT del Aeropuerto T-2;Avión;10;10
21/03/2024;Mujer;Argentina;;En pareja;3 noches;;10;;10;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;10;10;8;10;10;10;Sí;10;10;NS/NC;;NS/NC;No ha buscado información;10;NS/NC;25-44;;Ocio, recreo y vacaciones;10;NS/NC;10;10;PIT del Aeropuerto T-2;Avión;10;10
21/03/2024;Hombre;España;Murcia;Sólo;2 noches;;10;;10;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;10;10;10;10;10;10;Sí;NS/NC;10;10;;10;No ha buscado información;8;10;45-64;;Ocio, recreo y vacaciones;10;10;NS/NC;10;PIT del Paseo del Prado;Tren;10;10
21/03/2024;Mujer;España;Málaga;Sólo;3 noches;;10;;10;NS/NC;;Los había visto anteriormente;;10;10;10;10;10;10;10;10;10;Sí;NS/NC;10;10;;10;No ha buscado información;8;10;45-64;;Ocio, recreo y vacaciones;10;10;NS/NC;10;PIT del Paseo del Prado;Tren;10;10
21/03/2024;Mujer;España;Madrid;Residente;Residente;;9;;10;10;;Los ha encontrado en su recorrido;;9;10;10;10;10;10;8;9;10;Sí;9;9;10;;10;No ha buscado información;9;10;+65;;Residente;10;9;10;10;PIT de Atocha;Residente;9;9
21/03/2024;Hombre;España;Madrid;Residente;Residente;;10;;10;9;;Los ha encontrado en su recorrido;;9;8;9;9;9;9;9;10;9;Sí;10;10;9;;10;No ha buscado información;10;9;45-64;;Residente;9;10;10;9;PIT Palacio Real;Residente;10;9
22/03/2024;Hombre;México;;En pareja;Excursionista;;5;;10;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;10;5;4;3;7;5;Sí;4;4;6;;6;No ha buscado información;4;7;25-44;;Tránsito;10;7;3;5;PIT del Aeropuerto T-4;Avión;10;4
22/03/2024;Hombre;Países Bajos;;En pareja;3 noches;;10;;10;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;10;10;10;10;10;9;Sí;9;10;10;;10;No ha buscado información;10;10;45-64;;Ocio, recreo y vacaciones;10;10;10;10;Centro de Turismo de la Plaza Mayor;Avión;10;7
22/03/2024;Hombre;Colombia;;Con amigos;3 noches;;9;;10;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;10;10;8;7;9;9;Sí;8;8;NS/NC;;8;No ha buscado información;8;NS/NC;45-64;;Ocio, recreo y vacaciones;10;NS/NC;8;8;Centro de Turismo de la Plaza Mayor;Avión;10;8
22/03/2024;Hombre;Argentina;;En familia;De 1 a 2 semanas;;7;;7;10;;Los ha encontrado en su recorrido;;10;10;10;10;7;4;5;8;6;Sí;4;5;8;;8;No ha buscado información;5;8;45-64;;Ocio, recreo y vacaciones;10;8;4;5;PIT del Aeropuerto T-4;Avión;10;5
22/03/2024;Hombre;Filipinas;;En familia;De 4 a 7 noches;;9;;9;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;10;10;10;10;9;10;Sí;10;10;NS/NC;;10;No ha buscado información;10;10;25-44;;Ocio, recreo y vacaciones;10;NS/NC;10;10;Centro de Turismo de la Plaza Mayor;Avión;10;9
22/03/2024;Mujer;Estados Unidos;;En pareja;3 noches;;10;;10;10;;Los ha encontrado en su recorrido;;10;10;10;10;10;8;9;10;10;Sí;8;8;10;;10;No ha buscado información;8;10;45-64;;Ocio, recreo y vacaciones;10;10;8;8;Centro de Turismo de la Plaza Mayor;Avión;10;8
22/03/2024;Hombre;España;Madrid;Residente;Residente;;10;;10;10;;Los había visto anteriormente;;10;10;10;10;10;10;10;10;10;Sí;10;10;10;;10;No ha buscado información;10;10;45-64;;Residente;10;10;10;10;Centro de Turismo de la Plaza Mayor;Residente;10;10
22/03/2024;Mujer;España;Madrid;Residente;Residente;;10;;10;10;;Los había visto anteriormente;;10;10;10;10;10;10;10;10;10;Sí;10;10;10;;10;No ha buscado información;10;10;+65;;Residente;10;10;10;10;Centro de Turismo de la Plaza Mayor;Residente;10;10
22/03/2024;Mujer;España;Madrid;Residente;Residente;;5;;10;NS/NC;;Los había visto anteriormente;;10;10;10;10;5;1;10;8;6;Sí;NS/NC;NS/NC;9;;8;No ha buscado información;1;10;+65;;Residente;10;10;NS/NC;6;PIT Palacio Real;Residente;NS/NC;10
22/03/2024;Hombre;España;Madrid;Residente;Residente;;10;;10;NS/NC;;Los había visto anteriormente;;10;10;10;10;10;4;10;10;10;Sí;NS/NC;NS/NC;10;;10;No ha buscado información;4;10;45-64;;Residente;10;10;NS/NC;10;PIT de CentroCentro;Residente;10;8
22/03/2024;Mujer;España;Barcelona;En pareja;3 noches;;10;Instagram;10;10;;Los ha encontrado en su recorrido;;10;10;10;10;10;9;9;10;10;Sí;9;9;10;;10;Internet/web (Indicar páginas);9;10;25-44;;Ocio, recreo y vacaciones;10;10;9;9;Centro de Turismo de la Plaza Mayor;Tren;10;9
22/03/2024;Hombre;Estados Unidos;;En pareja;3 noches;;10;;10;10;;Los ha encontrado en su recorrido;;10;10;10;10;10;10;10;10;10;Sí;10;10;10;;10;No ha buscado información;10;10;25-44;;Ocio, recreo y vacaciones;10;10;10;10;Centro de Turismo de la Plaza Mayor;Avión;10;10
22/03/2024;Hombre;México;;Con amigos;3 noches;;10;;10;10;;Los había visto anteriormente;;10;10;10;10;10;10;10;10;10;No;10;10;10;;10;No ha buscado información;10;10;45-64;;Ocio, recreo y vacaciones;10;10;10;10;Centro de Turismo de la Plaza Mayor;Avión;10;10
22/03/2024;Hombre;España;Sevilla;Sólo;1 noche;;10;web oficiales de museos, blogs;10;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;10;10;5;10;9;10;Sí;NS/NC;NS/NC;10;;8;Internet/web (Indicar páginas);3;10;25-44;;Ocio, recreo y vacaciones;10;10;NS/NC;10;PIT de Atocha;Tren;10;9
22/03/2024;Mujer;España;Las Palmas;En familia;De 1 a 2 semanas;;5;;10;10;;Los ha encontrado en su recorrido;;10;10;10;10;5;3;3;10;5;Sí;3;3;10;;10;No ha buscado información;3;10;45-64;;Cultura;10;10;3;3;PIT del Aeropuerto T-4;Avión;10;3
22/03/2024;Hombre;Alemania;;En pareja;De 4 a 7 noches;;7;;10;NS/NC;;Los ha encontrado en su recorrido;;10;8;10;10;8;9;9;9;10;Sí;9;10;8;;9;No ha buscado información;6;3;25-44;;Ocio, recreo y vacaciones;10;8;9;10;PIT Palacio Real;Avión;10;7
22/03/2024;Mujer;Bélgica;;En pareja;3 noches;;7;;10;10;;Los ha encontrado en su recorrido;;10;10;10;10;8;9;8;9;10;Sí;9;9;8;;8;No ha buscado información;6;7;25-44;;Ocio, recreo y vacaciones;10;10;8;10;PIT Palacio Real;Avión;10;8
22/03/2024;Mujer;España;Santa Cruz de Tenerife;En pareja;De 4 a 7 noches;;8;;10;8;;Los ha encontrado en su recorrido;;10;10;10;10;8;9;9;10;10;Sí;9;9;9;;9;No ha buscado información;6;10;45-64;;Ocio, recreo y vacaciones;10;9;9;10;PIT Palacio Real;Avión;10;9
22/03/2024;Hombre;España;Tarragona;En familia;3 noches;;10;;10;10;;Los ha encontrado en su recorrido;;10;10;10;10;10;9;8;10;10;Sí;9;8;10;;10;No ha buscado información;4;10;45-64;;Ocio, recreo y vacaciones;10;10;9;9;PIT Palacio Real;Tren;10;7
22/03/2024;Hombre;España;Gerona;En pareja;2 noches;;10;;10;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;10;10;10;10;10;10;Sí;10;10;10;;10;No ha buscado información;10;10;25-44;;Ocio, recreo y vacaciones;10;10;10;10;Centro de Turismo de la Plaza Mayor;Coche particular;10;7
22/03/2024;Hombre;Argentina;;En familia;De 4 a 7 noches;;8;blogs;8;9;;Los ha encontrado en su recorrido;;8;8;8;8;8;7;8;8;8;Sí;NS/NC;NS/NC;8;;8;Internet/web (Indicar páginas);6;8;45-64;;Familia;8;8;NS/NC;7;PIT del Aeropuerto T-2;Avión;9;8
22/03/2024;Mujer;Alemania;;En familia;2 noches;;10;redes sociales;10;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;10;10;9;9;10;10;Sí;NS/NC;NS/NC;10;;10;Guías turísticas publicadas sobre la ciudad;9;10;25-44;;Negocios;10;10;NS/NC;10;PIT de Estadio Santiago Bernabéu;Avión;10;10
22/03/2024;Hombre;España;Las Palmas;En pareja;3 noches;;8;instagram, tiktok;9;8;;Los ha encontrado en su recorrido;;8;8;9;9;8;8;8;8;7;Sí;NS/NC;NS/NC;8;;8;Internet/web (Indicar páginas);6;8;25-44;;Ocio, recreo y vacaciones;8;9;NS/NC;8;PIT del Aeropuerto T-2;Avión;8;7
22/03/2024;Mujer;Portugal;;Con amigos;3 noches;;9;rrss;9;9;;Los ha encontrado en su recorrido;;9;10;9;8;9;7;8;8;9;Sí;NS/NC;NS/NC;8;;8;Internet/web (Indicar páginas);7;8;25-44;;Ocio, recreo y vacaciones;8;8;NS/NC;8;PIT del Aeropuerto T-2;Avión;8;8
22/03/2024;Mujer;España;Madrid;Residente;Residente;;9;;9;NS/NC;;Tenía información previa de su ubicación;;10;10;9;9;9;9;10;9;9;Sí;NS/NC;NS/NC;9;;9;No ha buscado información;9;9;+65;Residente;Residente;10;9;NS/NC;9;PIT de Estadio Santiago Bernabéu;Residente;10;9
22/03/2024;Mujer;España;Guipúzcoa;En pareja;2 noches;;7;;10;NS/NC;;Los había visto anteriormente;El Rey León;10;10;10;10;10;10;10;10;10;Sí;10;9;10;;10;No ha buscado información;10;10;45-64;;Ver un espectáculo en particular (Indicar cuál);10;10;10;10;Centro de Turismo de la Plaza Mayor;Coche particular;10;10
22/03/2024;Hombre;España;La Coruña;Con amigos;Excursionista;;8;;8;9;;Los ha encontrado en su recorrido;;8;9;8;8;8;8;9;7;8;Sí;NS/NC;NS/NC;8;;8;No ha buscado información;9;7;45-64;;Tránsito;8;8;NS/NC;8;PIT del Aeropuerto T-2;Tren;8;8
22/03/2024;Mujer;España;Sevilla;Con amigos;Excursionista;;6;;5;9;;Los ha encontrado en su recorrido;;8;9;10;9;6;5;4;8;5;Sí;4;5;6;;5;No ha buscado información;5;6;15-24;;Tránsito;9;6;4;5;PIT del Aeropuerto T-4;Avión;9;5
22/03/2024;Mujer;México;;Con amigos;De 1 a 2 semanas;;10;Agencias;10;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;10;10;9;10;9;10;Sí;NS/NC;NS/NC;10;;10;Otros (Indicar);8;10;45-64;;Negocios;10;10;NS/NC;10;PIT de Estadio Santiago Bernabéu;Avión;10;8
22/03/2024;Hombre;España;Ávila;En pareja;2 noches;;9;;9;9;;Los ha encontrado en su recorrido;;9;9;9;9;9;9;9;9;9;Sí;9;9;9;;9;No ha buscado información;9;9;45-64;;Ocio, recreo y vacaciones;9;9;9;9;Centro de Turismo de la Plaza Mayor;Tren;9;9
22/03/2024;Mujer;España;Madrid;Residente;Residente;;8;;9;9;;Los había visto anteriormente;;8;8;9;8;8;8;8;8;8;Sí;NS/NC;NS/NC;8;;8;No ha buscado información;8;8;+65;;Residente;8;8;NS/NC;8;PIT del Aeropuerto T-2;Residente;8;8
22/03/2024;Mujer;España;Madrid;Residente;Residente;;5;;8;NS/NC;;Los había visto anteriormente;;10;10;10;10;6;4;3;8;5;Sí;3;5;8;;8;No ha buscado información;5;8;45-64;;Residente;10;8;3;5;PIT Palacio Real;Residente;10;4
22/03/2024;Mujer;España;Madrid;Residente;Residente;;10;;10;10;;Los había visto anteriormente;;10;10;10;10;10;10;10;10;10;Sí;10;10;10;;10;No ha buscado información;10;10;45-64;;Residente;10;10;10;10;PIT del Paseo del Prado;Residente;10;10
22/03/2024;Mujer;España;Cáceres;En familia;2 noches;;10;;10;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;10;10;10;10;10;10;Sí;NS/NC;NS/NC;10;;10;No ha buscado información;6;10;45-64;;Salud;10;10;NS/NC;10;PIT de Atocha;Autobús;10;10
22/03/2024;Mujer;España;Madrid;Residente;Residente;;8;;10;10;;Los había visto anteriormente;;10;10;10;10;8;9;10;9;7;Sí;NS/NC;NS/NC;10;;10;No ha buscado información;8;10;45-64;;Residente;10;10;NS/NC;7;PIT Cuesta de Moyano;Residente;NS/NC;9
22/03/2024;Mujer;España;Madrid;Residente;Residente;;8;;8;7;;Los ha encontrado en su recorrido;;8;8;8;8;8;8;8;8;8;Sí;NS/NC;8;8;;8;No ha buscado información;8;9;25-44;;Residente;8;9;NS/NC;8;PIT del Aeropuerto T-2;Residente;7;8
22/03/2024;Hombre;Portugal;;En familia;2 noches;;8;RRSS, madrid secreto, esmadrid;1;NS/NC;;Los ha encontrado en su recorrido;;10;7;10;10;8;10;10;8;10;Sí;NS/NC;NS/NC;9;;9;Internet/web (Indicar páginas);8;4;45-64;;Ocio, recreo y vacaciones;10;9;NS/NC;10;PIT de Atocha;Avión;NS/NC;10
22/03/2024;Hombre;España;Madrid;Residente;Residente;;5;;10;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;10;6;3;5;9;6;Sí;2;5;10;;9;No ha buscado información;5;10;15-24;;Residente;10;6;4;5;PIT del Aeropuerto T-4;Residente;10;4
22/03/2024;Mujer;Argentina;;En pareja;3 noches;;10;Indicaciones de familiares que han estado;10;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;10;10;10;10;10;10;Sí;NS/NC;NS/NC;10;;10;Otros (Indicar);9;10;25-44;;Ocio, recreo y vacaciones;10;10;NS/NC;10;PIT de Atocha;Avión;NS/NC;10
22/03/2024;Hombre;España;Álava;Sólo;2 noches;;10;;10;10;;Los ha encontrado en su recorrido;;10;10;10;10;10;10;10;10;10;Sí;10;10;10;;10;No ha buscado información;10;10;45-64;;Ocio, recreo y vacaciones;10;10;10;10;Centro de Turismo de la Plaza Mayor;Autobús;10;10
22/03/2024;Mujer;España;Sevilla;En familia;De 1 a 2 semanas;;10;;10;10;;Los había visto anteriormente;;10;10;10;10;10;10;10;10;10;Sí;10;10;10;;10;Teléfono;10;10;45-64;;Ocio, recreo y vacaciones;10;10;10;10;Centro de Turismo de la Plaza Mayor;Tren;10;10
22/03/2024;Mujer;España;Madrid;Residente;Residente;;9;;10;10;;Los había visto anteriormente;;10;10;10;10;9;6;10;9;10;Sí;NS/NC;NS/NC;9;;9;No ha buscado información;2;10;25-44;;Residente;10;9;NS/NC;10;PIT de Atocha;Residente;NS/NC;10
22/03/2024;Mujer;España;Madrid;Residente;Residente;;9;;9;9;;Los había visto anteriormente;;9;9;9;9;9;9;9;9;9;Sí;9;9;9;;9;No ha buscado información;9;9;+65;;Residente;9;9;9;9;PIT de Callao;Residente;9;9
22/03/2024;Mujer;España;Soria;En pareja;3 noches;;NS/NC;;NS/NC;10;;Los ha encontrado en su recorrido;;10;10;10;10;NS/NC;10;10;10;NS/NC;Sí;10;10;10;;10;Teléfono;10;10;+65;;Ocio, recreo y vacaciones;10;10;10;10;;Tren;10;10
22/03/2024;Mujer;Italia;;En familia;2 noches;;10;;NS/NC;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;10;10;10;10;9;10;Sí;10;10;NS/NC;;10;No ha buscado información;5;5;45-64;;Ocio, recreo y vacaciones;10;NS/NC;10;10;Centro de Turismo de la Plaza Mayor;Avión;10;10
22/03/2024;Mujer;España;Madrid;Residente;Residente;;10;;NS/NC;NS/NC;;Los había visto anteriormente;;10;10;10;10;10;10;10;10;10;Sí;10;10;10;;NS/NC;No ha buscado información;10;10;+65;;Residente;10;10;10;10;Centro de Turismo de la Plaza Mayor;Residente;10;10
22/03/2024;Mujer;España;Córdoba;Con amigos;2 noches;;8;blogs;10;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;10;9;9;10;10;10;Sí;10;9;NS/NC;;10;Internet/web (Indicar páginas);9;NS/NC;15-24;;Ocio, recreo y vacaciones;10;NS/NC;10;9;PIT Palacio Real;Autobús;10;10
22/03/2024;Hombre;España;Asturias;En familia;2 noches;;10;instagram;NS/NC;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;10;10;9;10;10;10;Sí;10;10;10;;10;Internet/web (Indicar páginas);9;10;25-44;;Cultura;10;10;10;10;Centro de Turismo de la Plaza Mayor;Tren;10;10
22/03/2024;Hombre;Italia;;En pareja;2 noches;;8;google;9;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;10;9;7;10;9;10;Sí;10;10;9;;9;Internet/web (Indicar páginas);6;4;25-44;;Ocio, recreo y vacaciones;10;9;9;10;PIT Palacio Real;Avión;10;10
22/03/2024;Mujer;Estados Unidos;;En pareja;De 4 a 7 noches;;10;;10;10;;Los ha encontrado en su recorrido;;10;10;10;10;10;10;10;NS/NC;10;Sí;10;10;NS/NC;;NS/NC;Guías turísticas publicadas sobre la ciudad;10;10;25-44;;Familia;10;NS/NC;10;10;PIT Palacio Real;Avión;10;10
22/03/2024;Hombre;Polonia;;En familia;3 noches;;10;tiktok, blogs;10;10;;Los había visto anteriormente;;10;10;10;10;10;9;10;10;10;Sí;10;10;NS/NC;;10;Internet/web (Indicar páginas);10;NS/NC;15-24;;Ocio, recreo y vacaciones;10;NS/NC;10;NS/NC;PIT Palacio Real;Avión;10;10
22/03/2024;Hombre;España;Cuenca;Con amigos;De 4 a 7 noches;;9;Amigos;9;NS/NC;;Los ha encontrado en su recorrido;;9;9;9;9;10;9;9;9;9;Sí;NS/NC;NS/NC;9;;9;Otros (Indicar);8;9;25-44;;Ocio, recreo y vacaciones;10;9;NS/NC;9;PIT de Estadio Santiago Bernabéu;Coche particular;9;9
22/03/2024;Mujer;España;Asturias;En pareja;2 noches;;10;;10;NS/NC;;Los ha encontrado en su recorrido;;9;10;9;9;10;9;10;9;10;Sí;NS/NC;NS/NC;10;;10;No ha buscado información;7;10;+65;;Ocio, recreo y vacaciones;10;10;NS/NC;9;PIT de Estadio Santiago Bernabéu;Tren;9;10
22/03/2024;Mujer;España;Valencia;Con amigos;3 noches;;8;;9;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;10;10;8;10;10;10;Sí;9;10;NS/NC;;NS/NC;No ha buscado información;7;7;15-24;;Ocio, recreo y vacaciones;10;NS/NC;9;10;PIT Palacio Real;Tren;10;10
22/03/2024;Hombre;Brasil;;Sólo;De 2 semanas a 1 mes;;9;;10;10;;Los ha encontrado en su recorrido;;10;10;10;10;9;8;10;10;10;Sí;10;10;NS/NC;;9;No ha buscado información;8;7;45-64;;Ocio, recreo y vacaciones;10;NS/NC;10;10;PIT Palacio Real;Avión;10;10
22/03/2024;Mujer;Italia;;Con amigos;3 noches;;1;;4;NS/NC;;Los ha encontrado en su recorrido;;7;8;8;8;8;8;7;7;7;Sí;NS/NC;NS/NC;7;;7;Guías turísticas publicadas sobre la ciudad;6;3;25-44;;Ocio, recreo y vacaciones;8;7;NS/NC;7;PIT del Aeropuerto T-2;Avión;8;7
22/03/2024;Hombre;Brasil;;En pareja;3 noches;;1;google;3;NS/NC;;Los ha encontrado en su recorrido;;7;7;7;7;8;7;6;6;7;Sí;NS/NC;NS/NC;6;;6;Internet/web (Indicar páginas);6;2;25-44;;Ocio, recreo y vacaciones;7;6;NS/NC;7;PIT del Aeropuerto T-2;Avión;7;6
22/03/2024;Mujer;España;Valencia;En pareja;3 noches;;1;;6;NS/NC;;Los había visto anteriormente;;8;8;8;8;7;7;7;7;7;Sí;NS/NC;NS/NC;7;;7;No ha buscado información;6;4;25-44;;Ocio, recreo y vacaciones;8;7;NS/NC;7;PIT del Aeropuerto T-2;Avión;8;7
22/03/2024;Mujer;España;Madrid;Residente;Residente;;10;;10;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;10;10;10;10;10;10;Sí;NS/NC;NS/NC;10;;9;No ha buscado información;8;10;+65;;Residente;10;10;NS/NC;10;PIT de CentroCentro;Residente;10;10
22/03/2024;Hombre;España;Santa Cruz de Tenerife;En pareja;De 4 a 7 noches;;1;;4;NS/NC;;Los había visto anteriormente;;7;7;7;7;7;6;6;7;7;Sí;NS/NC;NS/NC;6;;6;No ha buscado información;6;6;25-44;;Ocio, recreo y vacaciones;7;6;NS/NC;7;PIT del Aeropuerto T-2;Avión;7;6
22/03/2024;Hombre;España;Madrid;Residente;Residente;;1;;7;NS/NC;;Los había visto anteriormente;;7;7;7;7;7;8;7;7;7;Sí;NS/NC;NS/NC;7;;7;No ha buscado información;6;7;45-64;;Residente;7;7;NS/NC;8;PIT del Aeropuerto T-2;Residente;7;7
22/03/2024;Mujer;España;Madrid;Residente;Residente;;1;;5;NS/NC;;Los había visto anteriormente;;8;8;8;8;8;8;8;7;7;Sí;NS/NC;NS/NC;4;;6;No ha buscado información;8;4;25-44;;Residente;8;5;NS/NC;8;PIT del Aeropuerto T-2;Residente;8;8
22/03/2024;Mujer;Suiza;;En pareja;De 4 a 7 noches;;10;;NS/NC;NS/NC;;Los había visto anteriormente;;10;10;10;10;10;10;10;10;10;Sí;10;10;10;;10;No ha buscado información;10;10;+65;;Familia;10;10;10;10;Centro de Turismo de la Plaza Mayor;Avión;10;10
22/03/2024;Mujer;España;Santa Cruz de Tenerife;En pareja;2 noches;;8;;10;NS/NC;;Los había visto anteriormente;;10;10;10;10;10;7;10;10;10;Sí;9;10;9;;10;No ha buscado información;6;8;25-44;;Ocio, recreo y vacaciones;10;9;9;10;PIT Palacio Real;Avión;10;10
22/03/2024;Mujer;España;Madrid;Sólo;Residente;;10;;10;NS/NC;;Los había visto anteriormente;;10;10;10;10;10;10;10;10;10;Sí;NS/NC;NS/NC;10;;10;No ha buscado información;10;10;+65;;Ocio, recreo y vacaciones;10;10;NS/NC;10;PIT de CentroCentro;Residente;10;10
22/03/2024;Hombre;España;Valencia;En pareja;2 noches;;6;;NS/NC;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;10;8;10;10;10;10;Sí;10;10;10;;10;No ha buscado información;10;10;+65;;Ocio, recreo y vacaciones;10;10;10;10;Centro de Turismo de la Plaza Mayor;Tren;10;10
22/03/2024;Mujer;España;Madrid;Sólo;Residente;;10;;10;NS/NC;;Los había visto anteriormente;;10;10;10;10;10;10;10;10;10;Sí;NS/NC;10;10;;10;No ha buscado información;10;10;+65;;Ocio, recreo y vacaciones;10;10;NS/NC;10;PIT Cuesta de Moyano;Residente;10;10
22/03/2024;Mujer;España;Las Palmas;Sólo;3 noches;;10;;10;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;10;10;10;10;10;10;Sí;NS/NC;NS/NC;10;;10;No ha buscado información;8;10;45-64;;Ocio, recreo y vacaciones;10;10;NS/NC;10;PIT del Paseo del Prado;Avión;10;10
22/03/2024;Mujer;España;Valladolid;En pareja;2 noches;;10;;10;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;10;10;10;10;10;10;Sí;NS/NC;NS/NC;10;;10;No ha buscado información;10;10;25-44;;Ocio, recreo y vacaciones;10;10;NS/NC;10;PIT del Paseo del Prado;Autobús;10;10
22/03/2024;Hombre;Alemania;;En familia;De 4 a 7 noches;;6;esmadrid;10;10;;Los ha encontrado en su recorrido;Boda;10;10;10;10;7;10;10;9;10;Sí;10;9;10;;10;Internet/web (Indicar páginas);8;6;25-44;;Otros (Indicar cuál);10;10;10;10;Centro de Turismo de la Plaza Mayor;Avión;10;8
22/03/2024;Mujer;España;Navarra;En familia;2 noches;;3;;3;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;9;5;9;9;9;2;Sí;9;8;9;;9;No ha buscado información;9;9;25-44;;Ocio, recreo y vacaciones;10;9;7;9;PIT de Callao;Tren;10;7
22/03/2024;Mujer;España;Madrid;En familia;Residente;;5;;10;10;;Los ha encontrado en su recorrido;;10;10;10;10;9;10;10;10;10;Sí;10;8;10;;10;No ha buscado información;10;10;25-44;;Residente;10;10;10;10;Centro de Turismo de la Plaza Mayor;Residente;10;10
22/03/2024;Hombre;Italia;;En pareja;3 noches;;5;google;10;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;10;6;9;10;9;10;Sí;9;7;9;;10;Internet/web (Indicar páginas);8;6;45-64;;Ocio, recreo y vacaciones;10;10;9;10;Centro de Turismo de la Plaza Mayor;Avión;10;9
